Decision,Date,Rationale,Section,Status,Tags
Story Circle is a functional platform-native 8-beat template (not decorative metadata),"May 15, 2026","arc_structure field value changed from dan_harmon to story_circle. Story Circle is now a first-class platform object that scaffolds 8 pre-populated beat containers with story_circle_step, structural_function, and suggested dramatic_purpose. arc_structure is a functional engine input used for generation context, pacing calibration, and structural intent. Authors using Story Circle get pre-scaffolded beats; custom arc authors define their own. Resolved the open architecture question from Chat 7 pre-work.",Cross-cutting,Committed,
"Killer active capabilities are story-prompted optional actions, not tracked resource pools","May 15, 2026","No ability_charge concept. The engine identifies when a story moment makes an action narratively appropriate and presents it as an optional prompt on the killer device. Killer accepts or declines. Story continues either way. The killer's experience is being a character in a story, not managing a hand of cards. Ability_pool concept in arc definition now means the set of action types available in this session, not a resource counter.",Cross-cutting,Committed,
Session duration is emergent (30-75 min target range). No separate speed round mode.,"May 15, 2026","Speed round is a fast group plus responsive pacing engine, not a designed configuration. Duration range replaces any session_mode parameter. The pacing engine manages within the 30-75 minute range based on player behavior. Both ends of the range are valid session outcomes.",Cross-cutting,Committed,
"Nightcap uses 8 execution beats in 1:1 Story Circle mapping: The Arrival, The Body, The Opening Move, The Dig, The Thread, The Reckoning, The Close, The Truth","May 15, 2026","8 beats gives the engine direct knowledge of the current Story Circle phase at all times, enabling structural intent injection into generation, tone-aware pacing, and ensemble coordination. Named beats are Nightcap-canonical labels, separate from the Story Circle step names. BeatDefinition schema expanded with story_circle_step, structural_function, dramatic_purpose, emotional_target, information_goal, tension_target, character_emphasis.",Cross-cutting,Committed,
aesthetic_mode replaced by aesthetic_config with per-element generation strategies. tone_config added to arc definition.,"May 15, 2026","Aesthetic has four categories: host-selectable (era + occasion, with Pick for Me option), pre-produced per theme (backgrounds, music, animations, UI), generated at session start (character portraits), and generative runtime (all text/narrative). Pre-produced is the v1 implementation; runtime generation is a planned A/B experiment. tone_config has brand_envelope (outer bounds per dimension), scenario_defaults (dial positions), and voice_directive (free text). Nightcap brand envelope: irreverence 0.5-1.0, suspense 0.4-0.9, dark comedy 0.4-0.85, wit density 0.6-1.0, chaos tolerance 0.3-0.8.",Cross-cutting,Committed,
"Fully generative story content is a Nightcap-specific design decision, not a platform requirement","May 15, 2026","The Arcwright platform supports authored, generative, and hybrid content strategies per arc. Nightcap chose fully generative story elements (characters, murder, clues, dialogue). Other arcs may have fixed authored characters, authored story content with generative edges, or any other combination. This distinction must be explicit in all platform documentation to avoid miscommunicating platform capabilities as Nightcap design choices.",Cross-cutting,Committed,
Victim is a dedicated 7th structural position. Killer designates victim at revelation. Eligibility governed by player count (threshold: 4+ human players for player-eligible).,"May 15, 2026","Victim slot is separate from the 6 player role types. In standard player counts (under threshold), victim is NPC. With 4+ human players, a human can be designated. The killer selects from available characters at the moment of revelation. Victim player receives their own private revelation with role assignment from the victim role pool: Witness, Specter, Informant, or Conspirator (conditional). All victim roles keep the player engaged through Beat 8. All learn killer identity at Beat 8 with everyone else.",Cross-cutting,Committed,
"Balance principle is an engine-enforced constraint: clue chain always sufficient for full investigator engagement, interference throttled against balance state","May 15, 2026","The session must remain genuinely winnable for both sides at all times. Genuine clue chain has enough redundancy that no single interference event makes the case unsolvable. Killer interference opportunities are throttled against the session balance state. False clues are always falsifiable given the complete genuine evidence set. This principle governs clue distribution, puzzle gating, and killer action opportunity surfacing.",Cross-cutting,Committed,
"Killer revelation is mid-session, variable between beats 2-4. Killer assignment and killer revelation are two distinct events.","May 15, 2026",Killer does not know they are the killer at session start. Assignment fires internally at any point from session start to just before revelation. Engine observes player behavior passively and can be accelerated by specific interaction triggers. Revelation fires privately on killer device at assigned beat (range 2-4). This produces authentic early-game investigative behavior and a strategic pivot moment when revelation lands. Differentiates Nightcap from all major imposter-format games.,Cross-cutting,Committed,
Murder timing is variable across beats 1-3. Mini-games active in beats 1-3 feed killer assignment logic.,"May 15, 2026","Murder can occur in any of the first three beats, not at a fixed narrative point. This mimics real social dynamics and creates meaningfully different session experiences. Mini-games (Jackbox-style social games) are framed as part of the gathering and run in beats 1-3. Their behavioral outputs are named inputs to the killer assignment logic. Players have no visibility into this function.",Cross-cutting,Committed,
"D-014 Signature emotional outcomes ranked: narrative pull (primary), world surprise that lets player feel done (secondary), creature uniqueness (tertiary).","May 18, 2026",Creature is texture; story is draw.,Cross-cutting,Committed,verticals
D-024 No fixed limit on bonded creatures over a save. Bond depth varies (deep lifelong plus lighter chapter-of-life).,"May 18, 2026",Genre breadth and design depth coexist.,Cross-cutting,Committed,verticals
"D-021 Standard difficulty scaling, not multi-axis subsystem.","May 18, 2026",Use platform's existing capability per PRD §5; don't reinvent.,Cross-cutting,Committed,verticals
D-025 Active party size: 3-4 creatures maximum.,"May 18, 2026",Each creature gets real screen time; distinguishes from Pokemon's 6.,Cross-cutting,Committed,"IP, verticals"
"D-030 Monster RPG player-facing term is 'chapter,' 'session' is platform/technical terminology.","May 18, 2026",Player-facing language matches life-and-story framing.,Cross-cutting,Committed,verticals
"D-003 Monster RPG world runs in story-time, not real-time or paused.","May 18, 2026",Removes absence pressure for working adults; aligns with life-and-fate framing.,Cross-cutting,Committed,verticals
D-005 Witness Bond as foundational creature relationship model.,"May 18, 2026",Most platform-leveraged of four candidate models; best fit for 'uniquely mine' signature outcome.,Cross-cutting,Committed,verticals
"D-016 Player age default: young adult or undefined, no fixed number, no visible aging markers.","May 18, 2026",Player imagination fills in; supports apprenticeship framing.,Cross-cutting,Committed,verticals
D-020 Levels and XP retained for creature progression as a layer separate from Witness Bond.,"May 18, 2026","Familiar player feedback supported by SDT research; Witness Bond carries identity, levels carry capability.",Cross-cutting,Committed,verticals
D-008 Creature autonomy enforced. Bonding consensual; departure allowed; refusal real.,"May 18, 2026",Brand position; engine enforces.,Cross-cutting,Committed,verticals
"D-004 Career path system: mentor-gated discovery, reversible, see-all-and-commit narrative pressure.","May 18, 2026",Core Monster RPG differentiator; mirrors real-life career discovery patterns.,Cross-cutting,Committed,verticals
D-018 No gossip propagation between NPCs as a platform mechanism. World consequences flow through procedural fate.,"May 18, 2026",Procedural fate generator already handles 'world responds at scale.',Cross-cutting,Committed,verticals
D-011 Adaptive emergent session closure with narrative_momentum_score pacing model.,"May 18, 2026",Best fit for life-and-fate framing; design philosophy matters more than complexity cost.,Cross-cutting,Committed,verticals
D-019 Creature-as-social-radar dropped as separate mechanism. Witness Bond consequence preserved.,"May 18, 2026",Avoid duplicate mechanisms; preserve natural Witness Bond behavior.,Cross-cutting,Committed,verticals
"D-028 Procedural responsive fate generator at full MVP scope, not deferred to Phase 2.","May 18, 2026",PRD §5 commitment deserves full version; secondary signature outcome depends on it.,Cross-cutting,Committed,verticals
D-022 Thread genealogy. Career arcs can spawn child career arcs via branching beats.,"May 18, 2026",Serves career path differentiator; produces narrative coherence over a long save.,Cross-cutting,Committed,verticals
D-010 Player cannot perform cruelty toward creatures or NPCs as a gameplay mechanic.,"May 18, 2026",Brand position; engine enforces.,Cross-cutting,Committed,"IP, verticals"
D-029 Monster RPG Story Bible structured as 12 chapters.,"May 18, 2026","Identity, life-and-fate, world, characters, creatures, careers, narrative, pacing, narrator, rules, content territory, example.",Cross-cutting,Committed,workflow
D-001 Monster RPG single-player at MVP. Multiplayer deferred to a later phase.,"May 18, 2026",Reduces MVP scope; matches founder intent for the core experience.,Cross-cutting,Committed,"roadmap, verticals"
D-026 Home base as a player-established location type. Bonded creatures live somewhere comfortable.,"May 18, 2026",Avoids storage/object framing; respects creature autonomy.,Cross-cutting,Committed,verticals
"D-023 NPC memory: narrative-meaningful events only, not every micro-interaction.","May 18, 2026",Bounded knowledge graph load; PRD §5 cross-session memory commitment preserved at meaningful depth.,Cross-cutting,Committed,verticals
D-012 No omniscient narrator in Monster RPG. Dialogue plus character POV moments. NarratorConfig: none.,"May 18, 2026",Player-respecting; matches literary-fiction approach.,Cross-cutting,Committed,verticals
D-015 Found family default. Player character starts without family; family of choice develops through play.,"May 18, 2026",Emotional and narrative richness; universally resonant pattern.,Cross-cutting,Committed,verticals
"D-027 Travel rest space (design-original, not pokeball-shaped). Creatures use by choice.","May 18, 2026",Practical mechanic respecting creature autonomy and IP boundaries.,Cross-cutting,Committed,"IP, verticals"
"D-006 Pact terms simplified to 'current wanting' state, not renegotiable contract object.","May 18, 2026",Same behavioral effect at lower schema complexity.,Cross-cutting,Committed,verticals
"D-002 Couch co-op is a separate (third) game candidate, Hazelight-influenced.","May 18, 2026",Distinct design and technical needs from Monster RPG; sequencing serially is optimal.,Cross-cutting,Committed,"roadmap, verticals"
D-013 Creatures and NPCs age over story-time; player character does not age.,"May 18, 2026",Preserves open-ended campaign; world mortality carries fate's emotional weight.,Cross-cutting,Committed,verticals
D-007 Inheritance hooks dropped as a separate creature mechanism. Prior creature history is authored backstory only.,"May 18, 2026",Did not earn its complexity. Regular Witness Bond produces relationship depth.,Cross-cutting,Committed,verticals
D-017 No reputation as a separate concept. Per-NPC opinions only. World-level consequences via procedural responsive fate.,"May 18, 2026",Network of NPC opinions IS reputation; separate aggregate is unnecessary.,Cross-cutting,Committed,verticals
D-009 Non-lethal competition. No creature death from battles.,"May 18, 2026",Brand position; engine enforces; differentiates from Pokemon's implicit ambiguity.,Cross-cutting,Committed,"IP, verticals"
D-035 Visual Storyworld staged roadmap,"May 19, 2026","Visual creator tooling, internally referred to as Visual Storyworld, is pulled forward from H3 to a five-phase staged roadmap. Phase 1 (inspection surfaces: live knowledge graph visualization, read-only arc structure view, live event stream, character state inspection) ships with platform MVP in H1. Phase 2 (structured editing of existing primitives: arc composition, character authoring, content event templates) ships during H2 prep. Phase 3 (live preview and runtime debugging) ships with H2 launch. Phase 4 (full visual flow editor, Blueprints-shape) ships H2 mature to H3 early. Phase 5 (asset libraries, marketplace if pull exists, AI-assisted authoring) ships H3 plus. Positioning is narrative middleware with extraordinary creator tooling, not no-code platform. Phase ordering may be adjusted based on customer learning and bandwidth signals.",Section 3: Three-Horizon Roadmap,Committed,
D-032 Brand approach is soft bifurcation,"May 19, 2026","One legal entity. Two product brands inside it. Arcwright (or Arcwright Engine, final platform brand name deferred to dedicated naming chat) is the platform-facing identity for developers and enterprise. Arcwright Studios is the consumer-facing publishing label for games. Platform-facing web properties, documentation, enterprise contracts, and developer materials lead with the platform brand. Studio brand appears on game splash screens, App Store and Steam pages, consumer site, and press for game releases. Two trademark filings inside one corporate entity. Decision absorbs the audit's brand-neutrality concern while preserving operational simplicity for a solo founder.",Section 1: Company Overview,Committed,
D-033 D-022 revised under soft bifurcation,"May 19, 2026",D-022 (company name is Arcwright Studios) is revised: parent entity name is Arcwright (or whatever legal name is chosen with counsel) and Arcwright Studios is the publishing sub-brand within that entity. Specific legal-name decision deferred to legal-formation work.,Section 1: Company Overview,Committed,
D-031 H2 external beta gate updated to require Nightcap profitability,"May 19, 2026","H2 external developer beta is contingent on Nightcap profitability signal in addition to the existing five external developers building non-Nightcap experiences gate. Specific profitability threshold (revenue level, unit economics, recurring revenue) is deferred until Nightcap pricing model is set. This is a hybrid posture absorbing one of the closer-to-Lighthouse audit guardrails without abandoning the Pixar to Valve to Stripe progression. Supersedes prior H2 gate language in PRD Section 9.",Section 3: Three-Horizon Roadmap,Committed,
"D-034 Wedge is capability-shaped, not segment-shaped","May 19, 2026","The Arcwright wedge is a capability, not a customer demographic. The wedge capability is cross-session narrative state management with knowledge graph as the headline primitive. Customer segments self-select by need rather than being recruited by demographic. THE tool for ambitious narrative games is the 5 to 10 year destination, not the H2 target. Implications: documentation, API design, marketing positioning, and partnership conversations lead with cross-session state and knowledge graph as the value proposition. Characters, arcs, pacing, fate, and content rails are supporting cast in how the platform talks about itself.",Section 2: Strategic Pillars,Committed,
D-038 Schema naming principle (standing rule),"May 19, 2026",Schema names describe structure. Game-specific semantics go in configuration. All current and future schema renames must satisfy this principle. The schema is the platform's external surface to developers; clean schemas are load-bearing for extreme ease of use.,Cross-cutting,Committed,
D-040 Build path reaffirmed and clarified,"May 19, 2026","D-059 (build for Nightcap, design platform-clean) stands. Platform-clean means clean internal abstractions and game-agnostic schemas, not external API exposure during H1. External developer exposure is gated by closer-to-Lighthouse plus the updated H2 profitability gate per D-031. The audit's generalized API engine concern is addressed by external-exposure timing, not by abandoning internal architectural discipline. Refactoring debt from a monolith-first approach would fall hardest when Monster RPG ships in H2, which is unacceptable for a solo founder.",Cross-cutting,Committed,
D-036 TypeScript clarification (reaffirmation and extension of D-057),"May 19, 2026","TypeScript is correct for the web SDK and dashboard frontend. Engine SDKs (Unity in C#, Unreal in C++ with Blueprints integration, Godot in GDScript or C#, native mobile in Swift and Kotlin if pursued) require their native languages and are separate engineering efforts wrapping the same REST API. Backend Python remains correct for the AI-heavy engine. The phrase 'the SDK' is plural; each engine SDK is its own real piece of work.",Section 8: Tool Stack,Committed,
"D-037 Business model architecture (four tiers, narrative-action credits)","May 19, 2026","Four pricing tiers: Free Developer, Indie, Studio, and Enterprise. Action credits are abstracted as narrative actions rather than raw tokens or API calls. Per-project pricing is default at Studio tier with per-seat available. Revenue share remains a configurable enterprise option, not the default model. Specific numeric prices deferred until Nightcap pricing is set. Extends and completes D-034.",Section 5: Capital Strategy,Committed,
D-039 Schema renames pass 1 (seven renames),"May 19, 2026","Seven renames confirmed: bonded_creatures to bonded_entities; home_base_location to player_anchor_location; career_path to player_role_arc; active_party to current_companion_entities; agency_vs_fate event tag to event_authorship with initial enum {player, world}; witnessing_creature_ids to witness_entity_ids; pact_term to current_intent, with historical wants stored separately in intent_history. Renames propagate through API surface, TypeScript SDK type definitions, dashboard UI labels, documentation, example code, Monster RPG Bible, and Nightcap Bible.",Cross-cutting,Committed,
D-042 Witness Bond scope at MVP,"May 19, 2026",Witness-event tagging in the knowledge graph ships at MVP because it is core to the capability-wedge and Nightcap benefits from it directly. Multi-dimensional bond_state schema is defined from day one. MVP uses a single-dimensional bond depth scalar. Full multi-dimensional implementation ships at Monster RPG H2.,Cross-cutting,Committed,
"D-041 MVP scope pattern (schema-clean, implementation-staged)","May 19, 2026","Schema design is platform-clean from day one and includes all fields needed for full functionality. Implementation is staged. Nightcap MVP gets minimum-viable implementations of advanced features. Monster RPG H2 fills in sophisticated implementations. Schema does not change between MVP and H2. This synthesizes platform-clean and closer-to-Lighthouse: schema-clean preserves platform discipline, implementation-narrow respects solo-founder bandwidth.",Cross-cutting,Committed,
D-045 narrative_momentum_score scope at MVP,"May 19, 2026","The narrative_momentum_score function exists in the API at MVP with simplified implementation: event-count plus arc-position awareness, suggesting pause after N events or predefined arc breakpoints. Sophisticated multi-signal scoring with cross-session pacing memory and closing beat detection ships at Monster RPG H2.",Cross-cutting,Committed,
D-043 Procedural fate generator scope at MVP,"May 19, 2026",Fate event schema and template engine ship at MVP. Implementation is condition-driven templates only. Full procedural multi-signal generator ships at Monster RPG H2 when long-form RPG signals are exercised.,Cross-cutting,Committed,
D-044 Thread genealogy scope at MVP,"May 19, 2026","The parent_thread_id field exists on the thread schema from day one, nullable, defaulting to null. Genealogy traversal logic using parent_thread_id for narrative coherence over long saves ships at Monster RPG H2. Nightcap is single-session and does not exercise thread ancestry.",Cross-cutting,Committed,
"D-047 DRAFT Enterprise wedge hypothesis (working hypothesis, not committed)","May 19, 2026","Per user signal that enterprise is too early to discuss, this is retained as a draft for revisit, not a hard commitment. Working hypothesis: Arcwright's enterprise wedge is a white-label-first, direct-secondary corporate team-building offering, sold primarily through mid-tier events vendors and secondarily to HR or People Ops decision-makers at companies of 200 or more employees. Testable within 12 months of Nightcap consumer launch by recruiting at least two events vendors as white-label partners, running at least three multi-session corporate engagements, and achieving either repeat booking rate above 50 percent or aggregate first-year revenue above $50K from these partnerships. Falsification conditions include buyer preference for fresh content over continuity, no vendor willingness after five qualified conversations, or cost-per-session economics failing to match category alternatives.",Section 4: Vertical Strategy,Tentative,
D-046 Enterprise product structure (portfolio of arcs on same platform),"May 19, 2026","Arcwright's enterprise team-building offering is a portfolio of arc templates running on the same Arcwright platform that powers Nightcap consumer. Arcs for enterprise are purpose-built (leadership development, team formation, onboarding narratives) or adapted from Nightcap. The platform is the same; the products are distinct. Resolves the open question about enterprise as distinct arc type vs same product with different rails.",Section 4: Vertical Strategy,Committed,
D-048 M0 Wizard-of-Oz validation gate overridden,"May 2026","PRD v1.3 Section 9 defined a manual Wizard-of-Oz facilitation phase (minimum 10 sessions, personalization perception signal required in 2+) as a required gate before significant production engineering. This gate is explicitly overridden. The founder's build sequence is: Engine, Platform, Game, live test with real users, iterate. No game exists yet and no one has played a session. Validation of the personalization thesis will happen through real-user qualifying sessions at M6, not a pre-engineering simulation phase. The personalization thesis is treated as a working hypothesis to be confirmed or disproved by the real product in real users' hands. This is consistent with the PRD's explicit founder-override provision. Risk accepted: production engineering begins before the personalization layer has been validated with real users. If M6 live testing reveals the personalization thesis does not hold, more engineering will need to be revisited than if a WoZ phase had surfaced this earlier. Founder accepts this tradeoff explicitly.",Process / MVP,Committed,"M0, validation, wizard-of-oz, MVP, override, personalization"
D-049 GitHub Projects and Issues is the primary project tracker for the Arcwright build,"May 2026","Code, AI agents (Claude Code, Codex, Copilot), and task tracking live in one place. Agents can read issues, execute against them, open PRs, and close issues via commit message references natively. No integration bridge is required between code and tracker. GitHub sub-issues and milestones support the roadmap's milestone, epic, and task hierarchy. Zero admin overhead for a solo founder. Linear and Jira were considered and rejected: Linear adds context-switching cost without proportionate benefit at this team size; Jira is designed for multi-team process governance that does not yet exist. Revisit trigger: first non-technical co-founder or PM hire who needs richer reporting or lives in a different tool.",Process / Tooling,Committed,"tooling, project-management, github, planning"
D-050 Nightcap game UI will be built on an external platform connecting to Arcwright via API,"May 2026","The Nightcap experience layer (host interface, player interface) will be delivered via a third-party platform that connects to Arcwright through its API, rather than Arcwright building those surfaces directly. This is consistent with the PRD surface-agnosticism principle: the engine emits content events tagged with context; the experience layer renders them. The specific external platform is not yet named. Roadmap implication: M4 task decomposition is deferred until the external platform is selected because that choice drives the required SDK or integration work. M1 through M3 are unaffected because they are backend and API only. Revisit when M3 nears its exit gate.",Product / Architecture,Committed,"M4, Nightcap, experience-layer, surface-agnosticism, platform"
D-051 Nightcap Continuity committed to v1.1,"June 13, 2026","Nightcap Continuity, defined as cross-session group memory plus a post-session recap artifact, is committed to v1.1 rather than v1. v1 remains focused on proving the complete single-session party game. v1.1 becomes the first fast-follow that demonstrates the D-034 wedge: cross-session narrative state management with the knowledge graph as the headline primitive. The v1.1 scope includes recap generation after The Truth, optional group memory reuse at future session creation, host controls for reuse/exclusion/deletion, and privacy-aware retention. Continuity must personalize future generated content without allowing AI to manage canonical session state or bypass deterministic arc execution. Durable approval evidence also lives in ADR docs/decisions/0006-nightcap-continuity-v11.md.",Product / Nightcap,Committed,"Nightcap, continuity, v1.1, D-034, ADR-0006, knowledge-graph, recap"
D-052 Nightcap v1 player floor is four human players,"June 13, 2026","Nightcap v1 requires four human players and scales up with additional human players. Interrogatable AI participants that fill empty player slots, hold private knowledge state, and can be the killer are deferred to v1.1. The narrator, NPC victim role, and non-participating background narration remain in v1. This resolves the prior PRD 4-10 versus Story Bible 2-8 player-count conflict in favor of a four-player v1 floor. Rationale: interrogatable AI participants are an unscoped engine feature with hardest-session-level complexity; the four-human floor preserves the full four-slot core experience without that scope.",Product / Nightcap,Committed,"Nightcap, player-count, v1, v1.1, AI-participants"
D-053 Nightcap arc is canonically eight Story Circle beats,"June 13, 2026","Nightcap uses eight Story Circle beats. Beat count is an arc-level property, not a platform or engine property. Monster RPG uses emergent arc_structure with no fixed beat count, and future games choose their own structure. No documentation may attribute a fixed beat count to the platform or engine. The prior three-beat shorthand in the PRD and roadmap is stale and must be corrected. Rationale: the eight-beat arc is the detailed Story Bible design; three-beat shorthand risks being wrongly implemented as a three-state machine.",Product / Nightcap,Committed,"Nightcap, arc-structure, Story-Circle, platform-agnostic"
D-054 Personalization intake added to Nightcap v1 scope,"June 13, 2026","Nightcap v1 includes three host seed questions at session creation plus one to two player prompts at join. The engine uses these inputs to calibrate character tensions, generated character fit, and narrator callbacks. Rationale: the personalization perception gate cannot fire without group-specific inputs, and anonymous sub-30-second join supplies none.",Product / Nightcap,Committed,"Nightcap, personalization, intake, v1"
D-055 Nightcap Continuity remains v1.1 and learns from past sessions,"June 13, 2026","Nightcap Continuity is committed to v1.1, not v1, to avoid disrupting in-flight work. Continuity includes cross-session group memory, narrator callbacks to prior sessions, and shareable post-session recap. v1.1 continuity should also learn from a group's past sessions to deepen intake personalization over time. Rationale: this demonstrates the D-034 cross-session-state wedge in H1 without disrupting current milestones.",Product / Nightcap,Committed,"Nightcap, continuity, v1.1, D-034, personalization"
D-056 M5 second arc upgraded to executable second arc after Nightcap M6 proof,"June 13, 2026","The M5 second arc schema deliverable is upgraded from designed-only to an executable second arc sequenced after Nightcap M6 proof. The written schema remains the design document, then becomes a minimal real product. Working concept: a solo daily single-suspect interrogation game where the suspect remembers prior days through the knowledge graph. Rationale: executable reuse proves the core platform claim more strongly than design assertion while protecting the Nightcap timeline by sequencing it after proof.",Section 3: Three-Horizon Roadmap,Committed,"M5, M6, second-arc, platform-reuse, knowledge-graph"
D-057 Nightcap pricing north star is host-pays-per-session,"June 13, 2026","Nightcap's temporary pricing north star is host-pays-per-session, anchored above the roughly $30 static murder-mystery-kit price point. Credit packs are a later retention or average-order optimization, pursued only if repeat purchase appears. The engine must support per-session charging and per-session cost tracking. The specific numeric launch price remains a launch-time decision informed by real per-session AI cost and early willingness-to-pay signal. This working north star may change as session uniqueness is proven and iterated. Rationale: per-session is the simplest willingness-to-pay test and matches the proof-signal framework; second purchase is the real signal.",Section 5: Capital Strategy,Committed,"Nightcap, pricing, per-session, cost-tracking"
D-058 Mini-games are a core Nightcap v1 interaction layer,"June 13, 2026","Mini-games are a core interaction layer in Nightcap v1, not an opening-only feature. v1 includes timed puzzle-gated mini-games across beats that gate clue access, drive competition, and create investigative leads, built on the existing puzzle-gated clue architecture from Story Bible Section 7. Behavioral-read output is captured in schema but not wired into killer assignment in v1; v1 killer assignment remains constrained-random behind the existing assignment interface. v1.1 wires mini-game behavioral signals into killer assignment, expands the mini-game suite, and adds cross-campaign behavioral reads. Rationale: timed competitive clue-cracking throughout is the protected differentiator; invisible behavioral-to-assignment plumbing and suite expansion are the deferrable cost.",Product / Nightcap,Committed,"Nightcap, mini-games, clues, killer-assignment, v1, v1.1"
D-059 Mini-game runtime and authoring boundary,"June 20, 2026","Mini-game packages use stable per-game paths, semantic versions, and draft, playtest, active, or retired lifecycle metadata. Python owns authoritative timing, submissions, scoring, outcomes, clue unlocking, and future persistence. Web clients render authorized state and submit actions only. v1 captures neutral metrics and deterministic game-scoped observations without using them for killer assignment or cross-session behavior. Every game defines a delayed clue fallback so failure cannot make the case unsolvable. Durable architecture evidence lives in ADR docs/decisions/0009-mini-game-runtime-boundary.md.",Product / Nightcap,Committed,"Nightcap, mini-games, architecture, lifecycle, behavioral-reads, clue-fallback, ADR-0009"
D-060 Mini-game arc position constraint removed. Mini-games are no longer restricted to Beats 1 through 3. They may fire at any beat, span the full session, or serve as the primary experience structure.,"June 22, 2026","Opening the design surface to allow mini-games to operate throughout the arc, including as session-anchoring experiences rather than pre-investigation warmups. Behavioral signal function is preserved for pre-assignment games. Post-assignment games serve defined session functions instead.",Story Bible / Technical Architecture,Decided,"mini-games, arc-structure, nightcap, design-surface"
D-061 First production Nightcap mini-game authored as an explicit precursor to AW-254,"June 24, 2026","AW-254 rehearsal requires a founder-selected production game ID, but no production mini-game package exists: the repository holds only non-shipping _fixtures (lifecycle playtest) and _template (lifecycle draft), and no decision record names a production game. Promoting a fixture is forbidden (do not activate non-shipping fixtures) and inventing content inside the rehearsal task is forbidden (no production content without founder approval). Founder direction is to author the first production game as an explicit precursor task (AW-257) using the AW-249 authoring foundation and AW-250 content and safety contracts, including an authored delayed clue fallback, before AW-254 promotes and rehearses it. AW-254 gains a dependency on AW-257 and stays blocked until the package is authored, reviewed, and founder-approved. Behavioral output stays schema-captured and unused for killer assignment in v1.",Product / Nightcap,Decided,"Nightcap, mini-games, production-game, AW-254, AW-257, precursor, clue-fallback"
D-062 Crime Scene Smash and Evidence Locker approved as the first production Nightcap mini-game packages,"June 24, 2026","Crime Scene Smash is approved as the first production Nightcap mini-game package to be authored under AW-257. The package is a Nightcap-tailored match-3 clue gate with per-player boards, a shared leaderboard, and a reduced-clue fallback so the mystery cannot dead-end. The engine-supported participation mode remains individual, with table competition expressed through leaderboard and score rules rather than a new schema enum. This approval provides durable product evidence for the package and keeps the implementation aligned with the current mini-game schema boundary. Evidence Locker #402 added to the approved production set on June 27, 2026 per D-064 two-rehearsal sequence so Rehearsal 1 exercises both a multi-player (Crime Scene Smash) and a solo (Evidence Locker) mechanic.",Product / Nightcap,Committed,"Nightcap, mini-games, production-game, AW-257, crime-scene-smash, evidence-locker, clue-fallback, participation-mode"
D-063 Tell Me Something True approved as a Nightcap social opener mini-game design candidate,"June 25, 2026","Founder direction selects Tell Me Something True as an approved Nightcap social opener and future mini-game design candidate. The locked design lives in docs/specs/0061-aw-258-tell-me-something-true.md. This decision approves the game ID and design direction for AW-258, not final shipped package content and not a replacement for the first production package decision in D-062. Crime Scene Smash remains the first production Nightcap mini-game package under AW-257 and AW-254. Any future Tell Me Something True package must include an authored delayed clue fallback where the mini-game schema requires it, pass content, asset, safety, and schema review, and receive founder content sign-off before authoring is marked complete. Behavioral output stays schema-captured and unused for killer assignment or cross-session behavior in v1.",Product / Nightcap,Decided,"Nightcap, mini-games, social-opener, AW-258, tell-me-something-true, clue-fallback"
"Proposed gameplay pivots for post-playtest evaluation","June 24, 2026","Formal documentation of two potential future gameplay models for Nightcap (Couch Game and Competitive Investigator) to ensure they are evaluated against playtest feedback.","Product/Gameplay",Proposed,"gameplay, product, nightcap, adr:0010"
D-064 Two-rehearsal sequence for Nightcap mini-games,"June 26, 2026","Crime Scene Smash and Evidence Locker promoted for Rehearsal 1 (M4 close). Tell Me Something True implemented and rehearsed separately as Rehearsal 2 in M5-F. Splits a multi-week effort into a 1-week M4 close plus a sequenced M5 epic so the founder can run a real-human session this week and feed its blockers into TMST work.",Section: Roadmap,Committed,"roadmap, nightcap"
D-065 Local-tunnel deployment for Rehearsal 1,"June 26, 2026","Rehearsal 1 runs on local Docker (engine plus Postgres) plus cloudflared tunnel exposing the web app to player phones. Cloud deployment deferred until AW-261 records the ADR-0003 validation outcome and a follow-on M5 task provisions it. Avoids coupling first-real-human session to cloud-infrastructure setup risk.",Section: Roadmap,Committed,"roadmap, infrastructure"
D-066 Polish tier split for Rehearsal 1,"June 26, 2026","Tier 1 polish (engineering correctness, performance, M4 exit-gate criteria, basic UX states, accessibility) is the Rehearsal 1 bar. Tier 2 polish (visual identity, art, animation, sound, brand system) deferred to M5-G epic. Rationale: rehearsal exists to surface blockers; investing in Tier 2 before any human has played wastes design budget on the wrong moments.",Section: Roadmap,Committed,"roadmap, polish"
D-067 ADR-0003 Cloudflare vs GCP validation outcome,"June 27, 2026","Stay with Cloudflare as the canonical Nightcap web-experience runtime. Cost, edge coordination via Workers plus hibernatable Durable Objects, and free-tier suitability for MVP volume outweigh cross-vendor auth bridging cost. Comparison recorded in docs/decisions/0003-nightcap-web-experience-runtime.md Validation Outcome section. Implementation lives in AW-269.",Section: Architecture,Committed,"roadmap, infrastructure"
